Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017]
Afghanistan,AFG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,41.697,40.474,39.232,38.016,36.863,35.797,34.836,33.98,33.214,..
Afghanistan,AFG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,9.59
Afghanistan,AFG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,184,168,158,151,149,151,158,166,173,..
Afghanistan,AFG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,60.243,60.754,61.226,61.666,62.086,62.494,62.895,63.288,63.673,..
Albania,ALB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.933,11.837,11.819,11.846,11.888,11.916,11.914,11.879,11.816,..
Albania,ALB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,10.08
Albania,ALB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Albania,ALB,Income share held by highest 10%,SI.DST.10TH.10,24.5,..,..,..,22.9,..,..,..,..,..
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.943,76.281,76.652,77.031,77.389,77.702,77.963,78.174,78.345,..
Algeria,DZA,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,23.425,24.189,24.762,25.078,25.134,24.945,24.522,23.9,23.132,..
Algeria,DZA,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,6.73
Algeria,DZA,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,46,43,40,36,31,26,23,21,20,..
Algeria,DZA,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,22.9,..,..,..,..,..,..
Algeria,DZA,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.032,74.374,74.676,74.944,75.187,75.418,75.641,75.86,76.078,..
American Samoa,ASM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,..,..,18.7,..,..,..,17.5,..,..,..
American Samoa,ASM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
American Samoa,ASM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,10.4,9.9,9.8,..,9.5,..,..,..,8.8,..
Andorra,AND,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,7.97
Andorra,AND,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Andorra,AND,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,..,..,..,..,..,..,..,..,..,..
Angola,AGO,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,46.459,45.91,45.314,44.688,44.058,43.446,42.864,42.321,41.819,..
Angola,AGO,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,3.94
Angola,AGO,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,189,168,149,132,120,111,104,96,90,..
Angola,AGO,Income share held by highest 10%,SI.DST.10TH.10,32.3,..,..,..,..,..,..,..,..,..
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,56.189,57.231,58.192,59.042,59.77,60.373,60.858,61.241,61.547,..
Antigua and Barbuda,ATG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,17.906,17.586,17.308,17.071,16.867,16.684,16.519,16.367,16.225,..
Antigua and Barbuda,ATG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,13.17
Antigua and Barbuda,ATG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Antigua and Barbuda,ATG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.078,75.247,75.412,75.574,75.733,75.892,76.05,76.207,76.364,..
Arab World,ARB,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,27.4866391392019,27.5357050946351,27.5643174741148,27.5321562195997,27.4125830401334,27.1905019029579,26.8605049096711,26.4311997768795,25.9277663555677,..
Arab World,ARB,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,12.0770204182209
Arab World,ARB,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,76.0268304902254,75.291663869456,73.4025354046189,71.5479904796716,55.2397269614458,53.2368494980676,52.198815442493,51.7289302845567,50.998723159355,..
Arab World,ARB,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,69.6469702814488,69.8514338976754,70.0410543466168,70.2238942443028,70.4080156937081,70.5982981596622,70.7939574698,70.9945414725089,71.198456370659,..
Argentina,ARG,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,18.417,18.285,18.154,18.019,17.875,17.717,17.547,17.364,17.172,..
Argentina,ARG,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,5.5
Argentina,ARG,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,11,10,10,10,10,8,6,3,2,..
Argentina,ARG,Income share held by highest 10%,SI.DST.10TH.10,31.6,31.1,31,30.6,29.4,29.3,29.5,..,30.9,..
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,75.268,75.431,75.595,75.761,75.926,76.089,76.252,76.415,76.577,..
Armenia,ARM,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,15.026,15.099,15.065,14.928,14.713,14.446,14.141,13.808,13.456,..
Armenia,ARM,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,7.11
Armenia,ARM,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,47,43,43,46,48,49,48,45,41,..
Armenia,ARM,Income share held by highest 10%,SI.DST.10TH.10,23.7,22.9,25,24,24.5,24.7,25.7,26.7,25.3,..
Armenia,ARM,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,72.946,73.119,73.331,73.571,73.814,74.044,74.255,74.445,74.618,..
Aruba,ABW,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,11.589,11.407,11.26,11.147,11.065,11.008,10.975,10.963,10.974,..
Aruba,ABW,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,11.62
Aruba,ABW,Depth of the food deficit (kilocalories per person per day),SN.ITK.DFCT,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,Income share held by highest 10%,SI.DST.10TH.10,..,..,..,..,..,..,..,..,..,..
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,74.725,74.872,75.016,75.158,75.299,75.44,75.582,75.725,75.867,..
Australia,AUS,"Birth rate, crude (per 1,000 people)",SP.DYN.CBRT.IN,14,13.9,13.7,13.6,13.7,13.3,13.2,12.8,12.5,..
Australia,AUS,Diabetes prevalence (% of population ages 20 to 79),SH.STA.DIAB.ZS,..,..,..,..,..,..,..,..,..,5.07
