Country Name,Country Code,Series Name,Series Code,2008 [YR2008],2009 [YR2009],2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016]
Afghanistan,AFG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Albania,ALB,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,6.5,,,,7.7,,,,
Algeria,DZA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,3.9,,,,,
Angola,AGO,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,55.7,,,,,,,,
Argentina,ARG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,6.2,6.0,3.7,2.6,2.7,2.4,2.8,,2.4
Armenia,ARM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,13.6,19.2,20.5,18.8,17.1,16.2,16.4,13.5,14.1
Australia,AUS,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.7,,0.7,,,,,,
Austria,AUT,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.7,0.5,0.5,0.7,0.5,0.2,0.7,
Azerbaijan,AZE,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Bangladesh,BGD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,60.4,,,,,,52.9
Belarus,BLR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.5,0.5,0.2,0.1,0.1,0.0,0.0,0.0,0.0
Belgium,BEL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,
Belize,BLZ,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Benin,BEN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,76.7,,,,76.2,
Bhutan,BTN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,14.5,,,,
Bolivia,BOL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,20.3,18.4,,14.1,14.7,12.2,12.3,11.7,12.6
Bosnia and Herzegovina,BIH,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,0.8,,,,0.8,
Botswana,BWA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,37.1,,,,,,,
Brazil,BRA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,13.5,12.5,,10.3,8.7,8.2,6.9,8.0,
Bulgaria,BGR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,3.2,2.7,4.2,5.0,5.0,4.7,3.7,,
Burkina Faso,BFA,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,81.5,,,,,76.4,,
Burundi,BDI,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,89.2,,,
Cabo Verde,CPV,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Cambodia,KHM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,,,
Cameroon,CMR,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,,44.8,,
Canada,CAN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,0.4,,,0.7,,,
Central African Republic,CAF,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,83.1,,,,,,,,
Chad,TCD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,66.5,,,,,
Chile,CHL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,6.7,,4.7,,2.6,,3.1,
China,CHN,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,34.4,,28.5,23.5,20.2,12.1,9.5,,
Colombia,COL,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,22.6,20.7,18.4,16.3,15.6,14.3,13.2,11.9,11.8
Comoros,COM,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,,38.1,,,
"Congo, Dem. Rep.",COD,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,,91.3,,,,
"Congo, Rep.",COG,Poverty headcount ratio at $3.20 a day (2011 PPP) (% of population),SI.POV.LMIC,,,,61.3,,,,,
